u;theta rad;omega rad/s
3;86.52127273;-19.98181818
3;84.76572727;-17.55545455
3;83.28136364;-14.84363636
3;82.01109091;-12.70272727
3;80.96918182;-10.41909091
3;80.15563636;-8.135454545
3;79.57045455;-5.851818182
3;79.22790909;-3.425454545
3;79.14227273;-0.856363636
3;79.18509091;0.428181818
3;79.31354545;1.284545455
3;79.48481818;1.712727273
3;79.72745455;2.426363636
3;80.01290909;2.854545455
3;80.34118182;3.282727273
3;80.698;3.568181818
3;81.05481818;3.568181818
3;81.45445455;3.996363636
3;81.86836364;4.139090909
3;82.31081818;4.424545455
3;82.78181818;4.71
3;83.30990909;5.280909091
3;83.88081818;5.709090909
3;84.50881818;6.28
3;85.20818182;6.993636364
3;85.95036364;7.421818182
3;86.76390909;8.135454545
3;87.606;8.420909091
3;88.47663636;8.706363636
3;89.40436364;9.277272727
3;90.37490909;9.705454545
3;91.38827273;10.13363636
3;92.48727273;10.99
3;93.62909091;11.41818182
3;94.81372727;11.84636364
3;96.04118182;12.27454545
3;97.32572727;12.84545455
3;98.66736364;13.41636364
3;100.0660909;13.98727273
3;101.5076364;14.41545455
3;102.992;14.84363636
3;104.5334545;15.41454545
3;106.1177273;15.84272727
3;107.7590909;16.41363636
3;109.4432727;16.84181818
3;111.156;17.12727273
3;112.9258182;17.69818182
3;114.7384545;18.12636364
3;116.6081818;18.69727273
3;118.5207273;19.12545455
3;120.4618182;19.41090909
3;122.46;19.98181818
3;124.501;20.41
3;126.5848182;20.83818182
3;128.7114545;21.26636364
3;130.8809091;21.69454545
3;133.0931818;22.12272727
3;135.3482727;22.55090909
3;137.6461818;22.97909091
3;139.9726364;23.26454545
3;142.3561818;23.83545455
3;144.7682727;24.12090909
3;147.2089091;24.40636364
3;149.7066364;24.97727273
3;152.2186364;25.12
3;154.7877273;25.69090909
3;157.3853636;25.97636364
3;159.9972727;26.11909091
3;162.6662727;26.69
3;165.3495455;26.83272727
3;168.0756364;27.26090909
3;170.8302727;27.54636364
3;173.6134545;27.83181818
3;176.4394545;28.26
3;179.2797273;28.40272727
3;182.1628182;28.83090909
3;185.0744545;29.11636364
3;188.0146364;29.40181818
3;190.9833636;29.68727273
3;193.9806364;29.97272727
3;197.0064545;30.25818182
3;200.0608182;30.54363636
3;203.1437273;30.82909091
3;206.2694545;31.25727273
3;209.4094545;31.4
3;212.578;31.68545455
3;215.7608182;31.82818182
3;219.0007273;32.39909091
3;222.2406364;32.39909091
3;225.5090909;32.68454545
3;228.8060909;32.97
3;232.1173636;33.11272727
3;235.4571818;33.39818182
3;238.8255455;33.68363636
3;242.2081818;33.82636364
3;245.6193636;34.11181818
3;249.0448182;34.25454545
3;252.4988182;34.54
3;255.9670909;34.68272727
3;259.4496364;34.82545455
3;262.975;35.25363636
3;266.5003636;35.25363636
3;270.04;35.39636364
3;273.6224545;35.82454545
3;277.2191818;35.96727273
3;280.8159091;35.96727273
3;284.4554545;36.39545455
3;288.1092727;36.53818182
3;291.7630909;36.53818182
3;295.4597273;36.96636364
3;299.1563636;36.96636364
3;302.8672727;37.10909091
3;306.6067273;37.39454545
3;310.3461818;37.39454545
3;314.1141818;37.68
3;317.9107273;37.96545455
3;321.7072727;37.96545455
3;325.5323636;38.25090909
3;329.3574545;38.25090909
3;333.1968182;38.39363636
3;337.0504545;38.53636364
3;340.9326364;38.82181818
3;344.8290909;38.96454545
3;348.7255455;38.96454545
3;352.6505455;39.25
3;356.5898182;39.39272727
3;360.5290909;39.39272727
3;364.4969091;39.67818182
3;368.479;39.82090909
3;372.4610909;39.82090909
3;376.4717273;40.10636364
3;380.4966364;40.24909091
3;384.5358182;40.39181818
3;388.575;40.39181818
3;392.6141818;40.39181818
3;396.6961818;40.82
3;400.7781818;40.82
3;404.8459091;40.67727273
3;408.9564545;41.10545455
3;413.0812727;41.24818182
3;417.2060909;41.24818182
3;421.3594545;41.53363636
3;425.5128182;41.53363636
3;429.6947273;41.81909091
3;433.8623636;41.67636364
3;438.0585455;41.96181818
3;442.2547273;41.96181818
3;446.4509091;41.96181818
3;450.6613636;42.10454545
3;454.8718182;42.10454545
3;459.1108182;42.39
3;463.3498182;42.39
3;467.6030909;42.53272727
3;471.8706364;42.67545455
3;476.1381818;42.67545455
3;480.4057273;42.67545455
3;484.7160909;43.10363636
3;489.0121818;42.96090909
3;493.3082727;42.96090909
3;497.6329091;43.24636364
3;501.9432727;43.10363636
3;506.2679091;43.24636364
3;510.6210909;43.53181818
3;514.96;43.38909091
3;519.3131818;43.53181818
3;523.6806364;43.67454545
3;528.0623636;43.81727273
3;532.4298182;43.67454545
3;536.8115455;43.81727273
3;541.2218182;44.10272727
3;545.6320909;44.10272727
3;550.0280909;43.96
3;554.4526364;44.24545455
3;558.8914545;44.38818182
3;563.316;44.24545455
3;567.7690909;44.53090909
3;572.2079091;44.38818182
3;576.661;44.53090909
3;581.0998182;44.38818182
3;585.5814545;44.81636364
3;590.0488182;44.67363636
3;594.5019091;44.53090909
3;598.9978182;44.95909091
3;603.4794545;44.81636364
3;607.9753636;44.95909091
3;612.457;44.81636364
3;616.9671818;45.10181818
3;621.4773636;45.10181818
3;625.9875455;45.10181818
3;630.512;45.24454545
3;635.0364545;45.24454545
3;639.5751818;45.38727273
3;644.0996364;45.24454545
3;648.6526364;45.53
3;653.2056364;45.53
3;657.7729091;45.67272727
3;662.3259091;45.53
3;666.9074545;45.81545455
3;671.4747273;45.67272727
3;676.042;45.67272727
3;680.6520909;46.10090909
3;685.2479091;45.95818182
3;689.8437273;45.95818182
3;694.4252727;45.81545455
3;699.0496364;46.24363636
3;703.674;46.24363636
3;708.2840909;46.10090909
3;712.8941818;46.10090909
3;717.5328182;46.38636364
3;722.1571818;46.24363636
3;726.7815455;46.24363636
3;731.4344545;46.52909091
3;736.0873636;46.52909091
3;740.726;46.38636364
3;745.3646364;46.38636364
3;750.0460909;46.81454545
3;754.7132727;46.67181818
3;759.3804545;46.67181818
3;764.0190909;46.38636364
3;768.7290909;47.1
3;773.3962727;46.67181818
3;778.092;46.95727273
3;782.7449091;46.52909091
3;787.4691818;47.24272727
3;792.1506364;46.81454545
3;796.8606364;47.1
3;801.5278182;46.67181818
3;806.2520909;47.24272727
3;810.9478182;46.95727273
3;815.6863636;47.38545455
3;820.3820909;46.95727273
3;825.1206364;47.38545455
3;829.8306364;47.1
3;834.5691818;47.38545455
3;839.2649091;46.95727273
3;844.0177273;47.52818182
3;848.742;47.24272727
3;853.4948182;47.52818182
3;858.2048182;47.1
3;862.9719091;47.67090909
3;867.7104545;47.38545455
3;872.4632727;47.52818182
3;877.1875455;47.24272727
3;881.9546364;47.67090909
3;886.7074545;47.52818182
3;891.4745455;47.67090909
3;896.2130909;47.38545455
3;900.9944545;47.81363636
3;905.7472727;47.52818182
3;910.5143636;47.67090909
3;915.2671818;47.52818182
3;920.0485455;47.81363636
3;924.8156364;47.67090909
3;929.597;47.81363636
3;934.3640909;47.67090909
3;939.1454545;47.81363636
3;943.9268182;47.81363636
3;948.7081818;47.81363636
3;953.5038182;47.95636364
3;958.2709091;47.67090909
3;963.0808182;48.09909091
3;967.8621818;47.81363636
3;972.6863636;48.24181818
3;977.4677273;47.81363636
3;982.2776364;48.09909091
3;987.0732727;47.95636364
3;991.8974545;48.24181818
3;996.6930909;47.95636364
3;1001.517273;48.24181818
3;1006.327182;48.09909091
3;1011.137091;48.09909091
3;1015.947;48.09909091
3;1020.756909;48.09909091
3;1025.595364;48.38454545
3;1030.405273;48.09909091
3;1035.243727;48.38454545
3;1040.053636;48.09909091
3;1044.906364;48.52727273
3;1049.730545;48.24181818
3;1054.569;48.38454545
3;1059.378909;48.09909091
3;1064.231636;48.52727273
3;1069.055818;48.24181818
-3;1073.708727;46.52909091
-3;1078.176091;44.67363636
-3;1082.386545;42.10454545
-3;1086.368636;39.82090909
-3;1090.093818;37.25181818
-3;1093.590636;34.96818182
-3;1096.830545;32.39909091
-3;1099.827818;29.97272727
-3;1102.596727;27.68909091
-3;1105.123;25.26272727
-3;1107.420909;22.97909091
-3;1109.504727;20.83818182
-3;1111.360182;18.55454545
-3;1112.987273;16.27090909
-3;1114.386;13.98727273
-3;1115.599182;12.13181818
-3;1116.584;9.848181818
-3;1117.354727;7.707272727
-3;1117.897091;5.423636364
-3;1118.196818;2.997272727
-3;1118.268182;0.713636364
-3;1118.225364;-0.428181818
-3;1118.096909;-1.284545455
-3;1117.897091;-1.998181818
-3;1117.611636;-2.854545455
-3;1117.269091;-3.425454545
-3;1116.855182;-4.139090909
-3;1116.369909;-4.852727273
-3;1115.827545;-5.423636364
-3;1115.228091;-5.994545455
-3;1114.585818;-6.422727273
-3;1113.915;-6.708181818
-3;1113.187091;-7.279090909
-3;1112.402091;-7.85
-3;1111.56;-8.420909091
-3;1110.632273;-9.277272727
-3;1109.647455;-9.848181818
-3;1108.591273;-10.56181818
-3;1107.520818;-10.70454545
-3;1106.393273;-11.27545455
-3;1105.208636;-11.84636364
-3;1103.952636;-12.56
-3;1102.639545;-13.13090909
-3;1101.269364;-13.70181818
-3;1099.856364;-14.13
-3;1098.386273;-14.70090909
-3;1096.859091;-15.27181818
-3;1095.274818;-15.84272727
-3;1093.647727;-16.27090909
-3;1091.963545;-16.84181818
-3;1090.236545;-17.27
-3;1088.438182;-17.98363636
-3;1086.625545;-18.12636364
-3;1084.755818;-18.69727273
-3;1082.814727;-19.41090909
-3;1080.845091;-19.69636364
-3;1078.832636;-20.12454545
-3;1076.777364;-20.55272727
-3;1074.665;-21.12363636
-3;1072.495545;-21.69454545
-3;1070.311818;-21.83727273
-3;1068.071;-22.40818182
-3;1065.815909;-22.55090909
